0x004763a4    6 1088 -> 316  sym.mg_send_mqtt_properties
0x00477a38   31 848          sym.mqtt_cb
0x00478108    4 180          sym.mg_atonl
0x004781bc    4 112          sym.mg_atone
0x0047822c   20 500          sym.mg_aton4
0x00478420   16 488          sym.mg_v4mapped
0x00478608   39 1176         sym.mg_aton6
0x00479674    8 316          sym.mg_pfn_iobuf_private
0x004797b0    1 80           sym.mg_putchar_iobuf_static
0x00479a5c    1 148          sym.print_ip4
0x00479af0    1 380          sym.print_ip6
0x00484e20    1 88           sym.mg_ntohs
0x00479f30   12 248          sym.mg_esc
0x0047a028    1 60           sym.mg_escape
0x0047a064    8 300          sym.qcpy
0x0047a190   18 596          sym.bcpy
0x0047a6a0    1 100          sym.mg_queue_read_len
0x0047a704    1 108          sym.mg_queue_write_len
0x0047abd8   11 280          sym.mg_rpc_call
0x0047b288   10 288          sym.print_methods
0x0047b400    3 180          sym.blk0
0x0047b4b4    1 9476         sym.mg_sha1_transform
0x004a12c0    1 16           fcn.004a12c0
0x0047de68   10 1132         sym.mg_sha256_chunk
0x0047eaf8    3 232          sym.gettimestamp
0x00484db8    1 104          sym.mg_ntohl
0x0047eef4   17 512          sym.sntp_cb
0x0047f394    1 140          sym.tousa
0x0047f420    1 120          sym.tomgaddr
0x0047f498    3 136          sym.setlocaddr
0x004a0e40    1 16           fcn.004a0e40
0x0047f520   12 396          sym.iolog
0x0047f910    1 112          sym.mg_set_non_blocking_mode
0x004a0e10    1 16           fcn.004a0e10
0x0047fc44   16 440          sym.recv_raw
0x0047fdfc    7 208          sym.ioalloc
0x0047fecc   20 556          sym.read_conn
0x004800f8    4 168          sym.write_conn
0x004801a0    3 144          sym.close_conn
0x004a10e0    1 16           fcn.004a10e0
0x004a1390    1 16           fcn.004a1390
0x00478c14    8 320          sym.mg_close_conn
0x00480230    5 320          sym.connect_conn
0x00480370    1 152          sym.setsockopts
0x004a0980    1 16           fcn.004a0980
0x00480784    4 152          sym.raccept
0x0048081c    5 576          sym.accept_conn
0x00480a5c    1 56           sym.can_read
0x00480a94    6 116          sym.can_write
0x00480b08    8 184          sym.skip_iotest
0x00480bc0   28 860          sym.mg_iotest
